# Number of traces
8985
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 1; 7.8302285504736491e-01; 8.0383492584217064e-01; 6.0034976724476596e-01; 9.4484545065182546e-01; 3.9767031338443637e-01; 1.1151029967997415e-01
1; 0; 2; 5.2033811142091535e-01; 5.2037353700970479e-01; 7.1575364390421514e-01; 5.5640767590318752e-01; 4.0158764875456854e-01; 5.8647127258160181e-01
2; 0; 3; 8.4927465371300670e-01; 2.3616722686611805e-01; 1.1151029967997417e-01; 4.1324663174957021e-01; 3.3940189022299783e-01; 7.1575364390421514e-01
3; 0; 7; 7.0742458730741398e-01; 1.0226675067458567e-01; 1.8761636881468316e-01; 7.6494720609248257e-01; 9.3664040692573960e-02; 1.1151029967997406e-01
4; 0; 8; 1.2174917013096800e+00; 1.0908573556648067e+00; 2.7870492850668871e-01; 1.1056296468426843e+00; 6.6937615638178927e-01; 1.1151029967997411e-01
5; 0; 9; 9.6690580485912347e-01; 4.3494964355939369e-01; 1.1151029967997411e-01; 8.6243475786109791e-01; 1.0073887528205496e+00; 6.5023695895702482e-01
6; 0; 10; 5.1316862652088258e-01; 2.1721933382771932e-01; 5.0641595444311216e-01; 9.4137401544345733e-01; 5.5811137268008382e-01; 2.3113152727958153e-01
7; 0; 12; 5.4668715693823056e-01; 2.4504504585399822e-01; 4.8568884423329778e-01; 8.2810199439198406e-01; 2.0038799367279225e-01; 1.1151029967997400e-01
8; 0; 14; 7.9989063190070442e-01; 9.9278348175845388e-01; 7.1575364390421492e-01; 9.6483648494712504e-01; 8.1178140308734470e-01; 3.8507233474214048e-01
9; 0; 16; 4.8582549801466768e-01; 2.3339985791846538e-01; 5.5128962525491998e-01; 4.8013640793848694e-01; 4.5243752094966472e-01; 7.1575364390421514e-01
10; 0; 18; 9.7396926933660466e-01; 4.4688604412489291e-01; 1.1151029967997400e-01; 1.0161901679793237e+00; 6.2073638195545278e-01; 1.8523782326151078e-01
11; 0; 19; 1.1595941553983038e+00; 1.0592430566084641e+00; 3.2633950932934241e-01; 1.0680173096882828e+00; 7.1910331792473414e-01; 1.9299547775080816e-01
