# FractureId; NumTraces
0; 0
# TraceId; Tips; Length

# FractureId; NumTraces
1; 0
# TraceId; Tips; Length

# FractureId; NumTraces
2; 0
# TraceId; Tips; Length

# FractureId; NumTraces
3; 0
# TraceId; Tips; Length

# FractureId; NumTraces
4; 0
# TraceId; Tips; Length

# FractureId; NumTraces
5; 0
# TraceId; Tips; Length

# FractureId; NumTraces
6; 0
# TraceId; Tips; Length

# FractureId; NumTraces
7; 0
# TraceId; Tips; Length

# FractureId; NumTraces
8; 0
# TraceId; Tips; Length

# FractureId; NumTraces
9; 0
# TraceId; Tips; Length

# FractureId; NumTraces
10; 0
# TraceId; Tips; Length

# FractureId; NumTraces
11; 0
# TraceId; Tips; Length

# FractureId; NumTraces
12; 0
# TraceId; Tips; Length

# FractureId; NumTraces
13; 0
# TraceId; Tips; Length

# FractureId; NumTraces
14; 0
# TraceId; Tips; Length

# FractureId; NumTraces
15; 0
# TraceId; Tips; Length

# FractureId; NumTraces
16; 0
# TraceId; Tips; Length

# FractureId; NumTraces
17; 0
# TraceId; Tips; Length

# FractureId; NumTraces
18; 0
# TraceId; Tips; Length

# FractureId; NumTraces
19; 0
# TraceId; Tips; Length

# FractureId; NumTraces
20; 0
# TraceId; Tips; Length

# FractureId; NumTraces
21; 0
# TraceId; Tips; Length

# FractureId; NumTraces
22; 0
# TraceId; Tips; Length

# FractureId; NumTraces
23; 0
# TraceId; Tips; Length

# FractureId; NumTraces
24; 0
# TraceId; Tips; Length

# FractureId; NumTraces
25; 0
# TraceId; Tips; Length

# FractureId; NumTraces
26; 0
# TraceId; Tips; Length

# FractureId; NumTraces
27; 0
# TraceId; Tips; Length

# FractureId; NumTraces
28; 0
# TraceId; Tips; Length

# FractureId; NumTraces
29; 0
# TraceId; Tips; Length

# FractureId; NumTraces
30; 0
# TraceId; Tips; Length

# FractureId; NumTraces
31; 0
# TraceId; Tips; Length

# FractureId; NumTraces
32; 0
# TraceId; Tips; Length

# FractureId; NumTraces
33; 0
# TraceId; Tips; Length

# FractureId; NumTraces
34; 0
# TraceId; Tips; Length

# FractureId; NumTraces
35; 0
# TraceId; Tips; Length

# FractureId; NumTraces
36; 0
# TraceId; Tips; Length

# FractureId; NumTraces
37; 0
# TraceId; Tips; Length

# FractureId; NumTraces
38; 0
# TraceId; Tips; Length

# FractureId; NumTraces
39; 0
# TraceId; Tips; Length

# FractureId; NumTraces
40; 0
# TraceId; Tips; Length

# FractureId; NumTraces
41; 0
# TraceId; Tips; Length

# FractureId; NumTraces
42; 0
# TraceId; Tips; Length

# FractureId; NumTraces
43; 0
# TraceId; Tips; Length

# FractureId; NumTraces
