# FractureId; NumTraces
0; 6
# TraceId; Tips; Length
0; 0; 0.674714
5; 1; 0.609552
4; 1; 0.48119
3; 1; 0.421609
2; 1; 0.394399
1; 1; 0.146053

# FractureId; NumTraces
1; 29
# TraceId; Tips; Length
24; 0; 0.903932
27; 0; 0.628665
16; 0; 0.38493
33; 0; 0.290934
13; 0; 0.155754
22; 0; 0.140048
8; 1; 0.937414
28; 1; 0.933607
31; 1; 0.924523
25; 1; 0.883688
29; 1; 0.802669
6; 1; 0.693349
30; 1; 0.674163
19; 1; 0.622641
14; 1; 0.507974
15; 1; 0.463852
11; 1; 0.418822
10; 1; 0.362868
9; 1; 0.360844
34; 1; 0.332684
18; 1; 0.303184
21; 1; 0.279493
7; 1; 0.256902
23; 1; 0.218024
26; 1; 0.144987
32; 1; 0.137939
17; 1; 0.124477
20; 1; 0.0322057
12; 1; 0.0114405

# FractureId; NumTraces
2; 3
# TraceId; Tips; Length
0; 1; 0.674714
36; 1; 0.379548
35; 1; 0.174406

# FractureId; NumTraces
3; 29
# TraceId; Tips; Length
62; 0; 0.659448
60; 0; 0.631298
49; 0; 0.630459
41; 0; 0.573908
44; 0; 0.325971
55; 0; 0.247699
40; 0; 0.189967
37; 0; 0.172857
6; 1; 0.693349
48; 1; 0.648418
53; 1; 0.648323
61; 1; 0.623364
54; 1; 0.598954
58; 1; 0.575532
38; 1; 0.539822
39; 1; 0.502691
63; 1; 0.487866
46; 1; 0.366372
56; 1; 0.353064
43; 1; 0.316188
52; 1; 0.310627
50; 1; 0.30679
59; 1; 0.298168
57; 1; 0.288737
47; 1; 0.28605
42; 1; 0.211084
45; 1; 0.206286
51; 1; 0.113237
64; 1; 0.0255813

# FractureId; NumTraces
4; 23
# TraceId; Tips; Length
77; 0; 0.87742
7; 0; 0.256902
66; 0; 0.0513445
82; 1; 0.895602
85; 1; 0.701608
78; 1; 0.650834
76; 1; 0.630698
83; 1; 0.626875
86; 1; 0.581023
84; 1; 0.527896
69; 1; 0.527538
71; 1; 0.522849
67; 1; 0.493348
